NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,PARENT,LEVEL_NUMBER,OFFICIAL_LEVEL_NAME,count
Cartagena,PORT_ESCAR,ALL#WORLD#EUR#ESP#PORT_ESCAR,false,,PORT_TERMINAL,ESP,1,PORT_TERMINAL,2
Jaén,JAEN,ALL#WORLD#EUR#ESP#SPAND#JAEN,false,,CITY,ESP,2,PROVINCE,2
Ventspils,PORT_LVVNT,ALL#WORLD#EUR#LVA#PORT_LVVNT,false,,PORT_TERMINAL,LVA,1,PORT_TERMINAL,2
Nemrut Bay,PORT_TRNEM,ALL#WORLD#ASIA#TUR#PORT_TRNEM,false,,PORT_TERMINAL,TUR,1,PORT_TERMINAL,2
Southern Finland,FI1C,ALL#WORLD#EUR#FIN#FI1#FI1C,false,,REGION,FIN,2,REGION,2
Burela,BURELA,ALL#WORLD#EUR#ESP#SPGAL#BURELA,false,,CITY,ESP,2,PROVINCE,2
Drujba,DRUJBA,ALL#WORLD#EUR#BGR#DRUJBA,false,,CITY,BGR,1,REGION,2
Hamburg,PORT_HAMBURG,ALL#WORLD#EUR#DEU#PORT_HAMBURG,false,,CITY,DEU,1,STATE,5
Eastern Slovakia,SK04,ALL#WORLD#EUR#SVK#SK0#SK04,false,,REGION,SVK,2,DISTRICT,2
Civitavecchia,PORT_ITCVV,ALL#WORLD#EUR#ITA#PORT_ITCVV,false,,PORT_TERMINAL,ITA,1,PORT_TERMINAL,2
Nanao,NANAO,ALL#WORLD#ASIA#JPN#NANAO,false,,CITY,JPN,1,PREFECTURE,2
Savona,ITC32,ALL#WORLD#EUR#ITA#ITC#ITC3#ITC32,false,,DEPARTMENT,ITA,3,MUNICIPALITY,2
Acajutla,ACAJ,ALL#WORLD#NOAME#SLV#SSNT#ACAJ,false,,CITY,SLV,2,MUNICIPALITY,2
Harz,HARZ---GER,ALL#WORLD#EUR#DEU#SAXOY#HARZ---GER,false,,TERRITORY,DEU,2,DISTRICT,2
Porto de Juruti,PORT_BRJUR,ALL#WORLD#SOAME#BRA#PORT_BRJUR,false,,PORT_TERMINAL,BRA,1,PORT_TERMINAL,2
Sao Borja,PORT_BRSBA,ALL#WORLD#SOAME#BRA#PORT_BRSBA,false,,PORT_TERMINAL,BRA,1,PORT_TERMINAL,2
Bontang,PORT_IDBXT,ALL#WORLD#ASIA#IDN#PORT_IDBXT,false,,PORT_TERMINAL,IDN,1,PORT_TERMINAL,2
Hiroshima,HIRO,ALL#WORLD#ASIA#JPN#HIRO,false,,CITY,JPN,1,PREFECTURE,2
Assis,ASSIS,ALL#WORLD#SOAME#BRA#BRANE#SAOPO#ASSIS,false,,CITY,BRA,3,CITY,2
Timbues,Timbues,ALL#WORLD#SOAME#ARG#Timbues,false,,CITY,ARG,1,CITY,2
Brownsville TN,BROWTN,ALL#WORLD#NOAME#USA#APPAL#TENNE#BROWTN,false,,CITY,USA,3,CITY,2
Barcelona,PORT_ESBCN,ALL#WORLD#EUR#ESP#PORT_ESBCN,false,,PORT_TERMINAL,ESP,1,PORT_TERMINAL,3
Veracruz,PORT_MXVER,ALL#WORLD#NOAME#MEX#PORT_MXVER,false,,PORT_TERMINAL,MEX,1,PORT_TERMINAL,2
Upper Norrland,SWE_UPNORR,ALL#WORLD#EUR#SWE#SWE_UPNORR,false,,COUNTY,SWE,1,COUNTY,2
Central Switzerland,CH06,ALL#WORLD#EUR#CHE#CH0#CH06,false,,REGION,CHE,2,DISTRICT,2
Guadeloupe,FRY1,ALL#WORLD#EUR#FRA#FRY#FRY1,false,,REGION,FRA,2,DEPARTMENT,3
Cotegipe Port,COTEG,ALL#WORLD#SOAME#BRA#BRACW#BAHIA#SALVA#COTEG,false,,CITY,BRA,4,CITY,2
"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",TUR_TRA_ORD_GIR,ALL#WORLD#ASIA#TUR#TUR_TRA_ORD_GIR,false,,REGION,TUR,1,PROVINCE,2
Saint Lawrence,PORT_CASLA,ALL#WORLD#NOAME#CAN#PORT_CASLA,false,,PORT_TERMINAL,CAN,1,PORT_TERMINAL,2
Itaguai,PORT_ITAGUAI,ALL#WORLD#SOAME#BRA#BRANE#RIODE#PORT_ITAGUAI,false,,CITY,BRA,3,CITY,2
Minden-Lübbecke,MINDEN-LBBECKE--GER,ALL#WORLD#EUR#DEU#NRHWE#MINDEN-LBBECKE--GER,false,,TERRITORY,DEU,2,DISTRICT,2
Calarasi,CALA,ALL#WORLD#EUR#ROU#CALA,false,,COUNTY,ROU,1,DEPARTMENT,2
Ardahan,ARDAHAN,ALL#WORLD#ASIA#TUR#ARDAHAN,false,,STATE,TUR,1,PROVINCE,2
Koper,PORT_SIKOP,ALL#WORLD#EUR#SVN#PORT_SIKOP,false,,PORT_TERMINAL,SVN,1,PORT_TERMINAL,2
Rize,RIZE,ALL#WORLD#ASIA#TUR#RIZE,false,,STATE,TUR,1,PROVINCE,2
Yangzijiang,PORT_YANGZG,ALL#WORLD#ASIA#CHN#PORT_YANGZG,false,,PORT_TERMINAL,CHN,1,PORT_TERMINAL,2
King Fahad Industrial Port,PORT_SAYBI,ALL#WORLD#ASIA#SAU#PORT_SAYBI,false,,PORT_TERMINAL,SAU,1,PORT_TERMINAL,2
Canakkale,PORT_TRCKZ,ALL#WORLD#ASIA#TUR#PORT_TRCKZ,false,,PORT_TERMINAL,TUR,1,PORT_TERMINAL,2
Liechtenstein,LI000,ALL#WORLD#EUR#LIE#LI0#LI00#LI000,false,,DEPARTMENT,LIE,3,DEPARTMENT,4
Piedmont,ITC1,ALL#WORLD#EUR#ITA#ITC#ITC1,false,,REGION,ITA,2,PROVINCE,2
Poitou-Charentes,FRI3,ALL#WORLD#EUR#FRA#FRI#FRI3,false,,REGION,FRA,2,DEPARTMENT,2
La Spezia,SPEZIA,ALL#WORLD#EUR#ITA#SPEZIA,false,,CITY,ITA,1,REGION,2
Kishiwada,PORT_JPKDA,ALL#WORLD#ASIA#JPN#PORT_JPKDA,false,,PORT_TERMINAL,JPN,1,PORT_TERMINAL,2
Moji,PORT_JPMOJ,ALL#WORLD#ASIA#JPN#PORT_JPMOJ,false,,PORT_TERMINAL,JPN,1,PORT_TERMINAL,2
Braunschweig,DEU_BRAUNSCH,ALL#WORLD#EUR#DEU#DEU_BRAUNSCH,false,,CITY,DEU,1,STATE,2
Porto de Juruti,PORT_JURU,ALL#WORLD#SOAME#BRA#PORT_JURU,false,,CITY,BRA,1,FEDERAL DISTRICT,2
Helsinki-Uusimaa,FI1B,ALL#WORLD#EUR#FIN#FI1#FI1B,false,,REGION,FIN,2,REGION,2
