NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME
Rancho Queimado,RANCHO_QUEIMADO,ALL#WORLD#Americas#SOAME#BRA#BRASO#SANTA#RANCHO_QUEIMADO,false,,CITY
Heidekreis,DE938,ALL#WORLD#EUR#DEU#DE9#DE93#DE938,false,,DEPARTMENT
Umm Said,PORT_UMM_SAID,ALL#WORLD#MIDDL#QAT#PORT_UMM_SAID,false,,PORT_TERMINAL
Rosyth,ROSYTH,ALL#WORLD#EUR#GBR#SCOTL#ROSYTH,false,,CITY
Villa Constitucion,PORT_ARVCN,ALL#WORLD#Americas#SOAME#ARG#PORT_ARVCN,false,,PORT_TERMINAL
Dehong Dai and Jingpo Autonomous Prefecture,Dehong_Dai_and_Jingpo,ALL#WORLD#ASIA#CHN#YUNNA#Dehong_Dai_and_Jingpo,false,,CITY
Sarnia,SARNIA,ALL#WORLD#NOAME#CAN#ONTAR#SARNIA,false,,PORT_TERMINAL
Aosta Valley,ITC2,ALL#WORLD#EUR#ITA#ITC#ITC2,false,,REGION
Perth,PORT_AUPER,ALL#WORLD#OCEAN#AUS#PORT_AUPER,false,,PORT_TERMINAL
Ilfov,RO322,ALL#WORLD#EUR#ROU#RO3#RO32#RO322,false,,DEPARTMENT
Takamatsu,PORT_JPTAK,ALL#WORLD#ASIA#JPN#PORT_JPTAK,false,,PORT_TERMINAL
Yatsushiro,PORT_JPYAT,ALL#WORLD#ASIA#JPN#PORT_JPYAT,false,,PORT_TERMINAL
Ochakiv Port,OCHAKIV,ALL#WORLD#CIS#UKR#SOUKR#MYKOL#MYKOC#OCHAKIV,false,,PORT_TERMINAL
Ávila,AVILA,ALL#WORLD#EUR#ESP#AVILA,false,,CITY
Port cartier,PORT_CAPCA,ALL#WORLD#NOAME#CAN#PORT_CAPCA,false,,PORT_TERMINAL
Southern Seaboard Alabama Georgia,SOUSE_AL_GA,ALL#WORLD#NOAME#USA#SOUSE#SOUSE_AL_GA,false,,REGION
Western Eyre Peninsula,WESTERN_EYRE_PENINSULA,ALL#WORLD#OCEAN#AUS#AUSOU#WESTERN_EYRE_PENINSULA,false,,FEDERAL_DISTRICT
Huelva,ES615,ALL#WORLD#EUR#ESP#ES6#ES61#ES615,false,,DEPARTMENT
Assam,ASSM,ALL#WORLD#ASIA#IND#ASSM,false,,STATE
Banjarmasin,PORT_IDBDJ,ALL#WORLD#ASIA#IDN#PORT_IDBDJ,false,,PORT_TERMINAL
Mansfeld-Südharz,DEE0A,ALL#WORLD#EUR#DEU#DEE#DEE0#DEE0A,false,,DEPARTMENT
Bornholm,DK014,ALL#WORLD#EUR#DNK#DK0#DK01#DK014,false,,DEPARTMENT
Bodocó,BODOCO,ALL#WORLD#Americas#SOAME#BRA#BRACW#PERNA#BODOCO,false,,CITY
Annaba,PORT_DZAAE,ALL#WORLD#DZA#PORT_DZAAE,false,,PORT_TERMINAL
Metro Manila,METROMANILA,ALL#WORLD#ASIA#PHL#METROMANILA,false,,NATIONAL_REGION
Fort Atkinson WI,FRWIIT,ALL#WORLD#NOAME#USA#EASCB#WISCO#FRWIIT,false,,CITY
Gotha,DEG0C,ALL#WORLD#EUR#DEU#DEG#DEG0#DEG0C,false,,DEPARTMENT
Van Rooyenshek,VANROY,ALL#WORLD#LSO#VANROY,false,,FEDERAL_DISTRICT
Corumba,CORUMBA,ALL#WORLD#Americas#SOAME#BRA#BRASE#MATOS#CORUMBA,false,,CITY
Relizane,RELIZANTE,ALL#WORLD#DZA#RELIZANTE,false,,REGION
Angre Port,ANGR,ALL#WORLD#ASIA#IND#WESTI#MAHAR#ANGR,false,,CITY
Sassari,ITG2D,ALL#WORLD#EUR#ITA#ITG#ITG2#ITG2D,false,,DEPARTMENT
Clarion PA,CALPY,ALL#WORLD#NOAME#USA#NOEAS#PENNS#CALPY,false,,CITY
"Nigeria, Ghana and Cameroon",NGAGHACMR,ALL#WORLD#AFR#NGAGHACMR,true,[],
Jequitinhonha,JEQUITINHMINAS,ALL#WORLD#Americas#SOAME#BRA#BRANE#MINAS#JEQUITINHMINAS,false,,CITY
Girau do Ponciano,GIRAUPON,ALL#WORLD#Americas#SOAME#BRA#BRACW#ALAGO#GIRAUPON,false,,CITY
Campana,PORT_ARCMP,ALL#WORLD#Americas#SOAME#ARG#PORT_ARCMP,false,,PORT_TERMINAL
Burgenland,AT11,ALL#WORLD#EUR#AUT#AT1#AT11,false,,REGION
South East Saskatchewan,SE_SASK,ALL#WORLD#NOAME#CAN#SE_SASK,false,,NATIONAL_REGION
Worms (Independent City),DEB39,ALL#WORLD#EUR#DEU#DEB#DEB3#DEB39,false,,DEPARTMENT
Ludwigsburg,DE115,ALL#WORLD#EUR#DEU#DE1#DE11#DE115,false,,DEPARTMENT
cape horn port,PORT_CAPE_HORN,ALL#WORLD#Americas#SOAME#ARG#PATAR#TDFPA#PORT_CAPE_HORN,false,,PORT_TERMINAL
Civitavecchia,PORT_CIVI,ALL#WORLD#EUR#ITA#PORT_CIVI,false,,CITY
Lithuania,LT0,ALL#WORLD#EUR#LTU#LT0,false,,NATIONAL_REGION
Puerto de Ceuta,PORT_CEUTA,ALL#WORLD#EUR#ESP#PORT_CEUTA,false,,PORT_TERMINAL
Bayern Land,DE-BY,ALL#WORLD#EUR#DEU#DE-BY,false,,STATE
London Locks WV,LONDOWIS,ALL#WORLD#NOAME#USA#APPAL#WESTV#LONDOWIS,false,,CITY
St. Wendel,DEC06,ALL#WORLD#EUR#DEU#DEC#DEC0#DEC06,false,,DEPARTMENT
Leipzig,DED52,ALL#WORLD#EUR#DEU#DED#DED5#DED52,false,,DEPARTMENT
Tübingen,TBINGEN---GER,ALL#WORLD#EUR#DEU#BADEW#TBINGEN---GER,false,,TERRITORY
Valenca,VALENCA,ALL#WORLD#Americas#SOAME#BRA#BRACW#BAHIA#VALENCA,false,,CITY
Ottawa 5 IL,OTTAWAIL,ALL#WORLD#NOAME#USA#EASCB#ILLIN#OTTAWAIL,false,,CITY
Jämtland County,SE322,ALL#WORLD#EUR#SWE#SE3#SE32#SE322,false,,DEPARTMENT
Bluegrass KY,BGKENTU,ALL#WORLD#NOAME#USA#APPAL#KENTU#BGKENTU,false,,REGION
Statesville NC,NC_SV,ALL#WORLD#NOAME#USA#APPAL#NOCAR#NC_SV,false,,CITY
Bydgoszcz-Toruń County,PL613,ALL#WORLD#EUR#POL#PL6#PL61#PL613,false,,DEPARTMENT
River Falls WI,RIVERWISCON,ALL#WORLD#NOAME#USA#EASCB#WISCO#RIVERWISCON,false,,CITY
Kayseri,KAYSR,ALL#WORLD#WESTE#TUR#KAYSR,false,,STATE
Port of Niteroi,PORT_NITER,ALL#WORLD#Americas#SOAME#BRA#BRANE#RIODE#PORT_NITER,false,,PORT_TERMINAL
Noumea,NOUMEA,ALL#WORLD#NCL#NOUMEA,false,,CITY
Friesland,NL12,ALL#WORLD#EUR#NLD#NL1#NL12,false,,REGION
Son Duong,SOD,ALL#WORLD#ASIA#VNM#SOD,false,,CITY
Aydın,TR321,ALL#WORLD#WESTE#TUR#TR3#TR32#TR321,false,,DEPARTMENT
Trøndelag,NO06,ALL#WORLD#WESTE#NOR#NO0#NO06,false,,REGION
Guttenberg IA,GUTTERWI,ALL#WORLD#NOAME#USA#WECB#IOWA#GUTTERWI,false,,CITY
Bolgar,PORT_BOLGAR,ALL#WORLD#CIS#RUS#PORT_BOLGAR,false,,PORT_TERMINAL
Masovian Voivodeship Macroregion,PL9,ALL#WORLD#EUR#POL#PL9,false,,NATIONAL_REGION
Capital Region,LT01,ALL#WORLD#EUR#LTU#LT0#LT01,false,,REGION
Capao Do Leao (Pelotas),CAPAO_DO_LEAO_(PELOTAS),ALL#WORLD#Americas#SOAME#BRA#BRASO#RIOGS#CAPAO_DO_LEAO_(PELOTAS),false,,CITY
Småland and the islands,SE21,ALL#WORLD#EUR#SWE#SE2#SE21,false,,REGION
DKZZZ Extra-Regio NUTS 3,DKZZZ,ALL#WORLD#EUR#DNK#DKZ#DKZZ#DKZZZ,false,,DEPARTMENT
Bonfim,BONFI,ALL#WORLD#Americas#SOAME#BRA#BRANO#RORAI#BONFI,false,,CITY
Aimores,AIMORES,ALL#WORLD#Americas#SOAME#BRA#BRANE#MINAS#AIMORES,false,,CITY
Arad,ARAD,ALL#WORLD#EUR#ROU#ARAD,false,,CITY
OESTE DA BAHIA ,OESTEDABAHIA1,ALL#WORLD#Americas#SOAME#BRA#OESTEDABAHIA1,false,,STATE
Shepetivskyi Raion,UA533,ALL#WORLD#CIS#UKR#UA5#UA53#UA533,false,,DEPARTMENT
Town of Westford WI,TOWNWISCO,ALL#WORLD#NOAME#USA#EASCB#WISCO#TOWNWISCO,false,,CITY
Erlangen-Höchstadt,ERLANGEN-HCHSTADT---GER,ALL#WORLD#EUR#DEU#BAVAR#ERLANGEN-HCHSTADT---GER,false,,TERRITORY
