NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,PROBLEM,PARENT,LEVEL_NUMBER,OFFICIAL_LEVEL_NAME,COLUMN_PROBLEM
Stuttgart,STUTT,ALL#WORLD#EUR#DEU#BADEW,False,,CITY,UniquenessConstraint - duplicate,DEU,2.0,DISTRICT,NAME
Patos De Minas,PATOS_DE_MINAS,ALL#WORLD#SOAME#BRA#BRANE#MINAS,False,,CITY,UniquenessConstraint - duplicate,BRA,3.0,CITY,NAME
Patos de Minas,PTOMI,ALL#WORLD#SOAME#BRA#BRANE#MINAS,False,,CITY,UniquenessConstraint - duplicate,BRA,3.0,CITY,NAME
Emilia-Romagna,ITH5,ALL#WORLD#EUR#ITA#ITH,False,,REGION,UniquenessConstraint - duplicate,ITA,2.0,PROVINCE,NAME
Emilia-Romagna,ITEMR,ALL#WORLD#EUR#ITA#ITNE,False,,STATE,UniquenessConstraint - duplicate,ITA,2.0,PROVINCE,NAME
Upper Palatinate,DE23,ALL#WORLD#EUR#DEU#DE2,False,,REGION,UniquenessConstraint - duplicate,DEU,2.0,DISTRICT,NAME
Upper Palatinate,DEU_BAV_UPPERPALATI,ALL#WORLD#EUR#DEU#BAVAR,False,,COUNTY,UniquenessConstraint - duplicate,DEU,2.0,DISTRICT,NAME
Nord - Pas-de-Calais,NPC,ALL#WORLD#EUR#FRA,False,,REGION,UniquenessConstraint - duplicate,FRA,1.0,METROPOLITAN REGION,NAME
Nord-Pas-de-Calais,NORDP,ALL#WORLD#EUR#FRA,False,,NATIONAL_REGION,UniquenessConstraint - duplicate,FRA,1.0,METROPOLITAN REGION,NAME
Querência,QUERENCIA,ALL#WORLD#SOAME#BRA#BRASE#MATOG,False,,CITY,UniquenessConstraint - duplicate,BRA,3.0,CITY,NAME
Querencia,QRCMA,ALL#WORLD#SOAME#BRA#BRASE#MATOG,False,,CITY,UniquenessConstraint - duplicate,BRA,3.0,CITY,NAME
Zakarpatska Oblast,UA71,ALL#WORLD#EUR#UKR#UA7,False,,REGION,UniquenessConstraint - duplicate,UKR,2.0,RAION,NAME
Zakarpatska Oblast,ZAKAR,ALL#WORLD#EUR#UKR#WESTU,False,,STATE,UniquenessConstraint - duplicate,UKR,2.0,RAION,NAME
Central Anatolia,TUR_ANATOLIA_C,ALL#WORLD#ASIA#TUR,False,,REGION,UniquenessConstraint - duplicate,TUR,1.0,PROVINCE,NAME
