NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,PARENT,LEVEL_NUMBER,OFFICIAL_LEVEL_NAME
Querência,QUERENCIA,ALL#WORLD#SOAME#BRA#BRASE#MATOG,False,,CITY,BRA,3,CITY
Querencia,QRCMA,ALL#WORLD#SOAME#BRA#BRASE#MATOG,False,,CITY,BRA,3,CITY
Zakarpatska Oblast,UA71,ALL#WORLD#EUR#UKR#UA7,False,,REGION,UKR,2,RAION
Zakarpatska Oblast,ZAKAR,ALL#WORLD#EUR#UKR#WESTU,False,,STATE,UKR,2,RAION
Central Anatolia,TUR_ANATOLIA_C,ALL#WORLD#ASIA#TUR,False,,REGION,TUR,1,PROVINCE
Central Anatolia,TR7,ALL#WORLD#ASIA#TUR,False,,NATIONAL_REGION,TUR,1,PROVINCE
Battle Creek MI,BATTLECREEKMI,ALL#WORLD#NOAME#USA#EASCB#MICHI,False,,CITY,USA,3,CITY
Battle Creek MI,BACMI,ALL#WORLD#NOAME#USA#EASCB#MICHI,False,,CITY,USA,3,CITY
Karlsruhe,KARLSRUHE---GER,ALL#WORLD#EUR#DEU#BADEW,False,,TERRITORY,DEU,2,DISTRICT
Karlsruhe,DE12,ALL#WORLD#EUR#DEU#DE1,False,,REGION,DEU,2,DISTRICT
Gaucha Do Norte,GAUCHA_DO_NORTE,ALL#WORLD#SOAME#BRA#BRASE#MATOG,False,,CITY,BRA,3,CITY
Gaúcha do Norte,GAUCHADONORTE,ALL#WORLD#SOAME#BRA#BRASE#MATOG,False,,CITY,BRA,3,CITY
Centre-Val de Loire,CENTRVAL,ALL#WORLD#EUR#FRA,False,,REGION,FRA,1,METROPOLITAN REGION
Centre-Val de Loire,FRB,ALL#WORLD#EUR#FRA,False,,NATIONAL_REGION,FRA,1,METROPOLITAN REGION
Provence-Alpes-Côte d’Azur,FRL0,ALL#WORLD#EUR#FRA#FRL,False,,REGION,FRA,2,DEPARTMENT
Provence-Alpes-Côte d'Azur,PROVE,ALL#WORLD#EUR#FRA#MEDIT,False,,STATE,FRA,2,DEPARTMENT
İzmir,TR31,ALL#WORLD#ASIA#TUR#TR3,False,,REGION,TUR,2,DISTRICT
Izmir,IZMIR,ALL#WORLD#ASIA#TUR#AEGEA,False,,CITY,TUR,2,DISTRICT
Corsica,FRM0,ALL#WORLD#EUR#FRA#FRM,False,,REGION,FRA,2,DEPARTMENT
Corsica,CORSI,ALL#WORLD#EUR#FRA#MEDIT,False,,STATE,FRA,2,DEPARTMENT
Bom Jesus de Goiás,BJ_GOIAS,ALL#WORLD#SOAME#BRA#GOIAS,False,,CITY,BRA,2,MUNICIPALITY
Bom Jesus De Goias,BJGGO,ALL#WORLD#SOAME#BRA#GOIAS,False,,CITY,BRA,2,MUNICIPALITY
Port Klang,PORT_MYPKG,ALL#WORLD#ASIA#MYS,False,,PORT_TERMINAL,MYS,1,PORT_TERMINAL
Klang Port,PORT_KLANG_PORT,ALL#WORLD#ASIA#MYS,False,,PORT_TERMINAL,MYS,1,PORT_TERMINAL
Naples,ITF33,ALL#WORLD#EUR#ITA#ITF#ITF3,False,,DEPARTMENT,ITA,3,MUNICIPALITY
Naples,NAPLE,ALL#WORLD#EUR#ITA#ITAS#ITCAM,False,,CITY,ITA,3,MUNICIPALITY
Vysotsk,VYSOTSK,ALL#WORLD#EUR#RUS,False,,PORT_TERMINAL,RUS,1,PORT_TERMINAL
Vysotsk,VYSTSK,ALL#WORLD#EUR#RUS,False,,PORT_TERMINAL,RUS,1,PORT_TERMINAL
Aquitaine,FRI1,ALL#WORLD#EUR#FRA#FRI,False,,REGION,FRA,2,DEPARTMENT
Aquitaine,AQUIT,ALL#WORLD#EUR#FRA#SOUTI,False,,STATE,FRA,2,DEPARTMENT
Tuscany,ITI1,ALL#WORLD#EUR#ITA#ITI,False,,REGION,ITA,2,PROVINCE
Tuscany,ITTUS,ALL#WORLD#EUR#ITA#ITAC,False,,STATE,ITA,2,PROVINCE
Pays de la Loire,FRG0,ALL#WORLD#EUR#FRA#FRG,False,,REGION,FRA,2,DEPARTMENT
Pays de la Loire,PAYSD,ALL#WORLD#EUR#FRA#WESTF,False,,STATE,FRA,2,DEPARTMENT
Apulia,ITF4,ALL#WORLD#EUR#ITA#ITF,False,,REGION,ITA,2,PROVINCE
Apulia,ITAPU,ALL#WORLD#EUR#ITA#ITAS,False,,STATE,ITA,2,PROVINCE
Lüneburg,DE93,ALL#WORLD#EUR#DEU#DE9,False,,REGION,DEU,2,DISTRICT
Lüneburg,LNEBURG-GER,ALL#WORLD#EUR#DEU#LOWSA,False,,TERRITORY,DEU,2,DISTRICT
Santa Vitoria,SANTAVITORIA,ALL#WORLD#SOAME#BRA#BRANE#MINAS,False,,CITY,BRA,3,CITY
Santa Vitória,SAN_VIC,ALL#WORLD#SOAME#BRA#BRANE#MINAS,False,,CITY,BRA,3,CITY
Kirovohrad Oblast,UA33,ALL#WORLD#EUR#UKR#UA3,False,,REGION,UKR,2,RAION
Kirovograd Oblast,KIROO,ALL#WORLD#EUR#UKR#CENTE,False,,STATE,UKR,2,RAION
Amambaí,AMAM,ALL#WORLD#SOAME#BRA#BRASE#MATOS,False,,CITY,BRA,3,CITY
Amambai,AMAMS,ALL#WORLD#SOAME#BRA#BRASE#MATOS,False,,CITY,BRA,3,CITY
Chapadao Do Sul,CHAPADAO_DO_SUL,ALL#WORLD#SOAME#BRA#BRASE#MATOS,False,,CITY,BRA,3,CITY
Chapadão do Sul,CSDMA,ALL#WORLD#SOAME#BRA#BRASE#MATOS,False,,CITY,BRA,3,CITY
Hamburg,PORT_HAMBURG,ALL#WORLD#EUR#DEU,False,,CITY,DEU,1,STATE
Hamburg,DE6,ALL#WORLD#EUR#DEU,False,,NATIONAL_REGION,DEU,1,STATE
Guadeloupe,FRY1,ALL#WORLD#EUR#FRA#FRY,False,,REGION,FRA,2,DEPARTMENT
Guadeloupe,GLP,ALL#WORLD#EUR#FRA#OVERS,False,,STATE,FRA,2,DEPARTMENT
Yangzijiang,PORT_YANGZG,ALL#WORLD#ASIA#CHN,False,,PORT_TERMINAL,CHN,1,PORT_TERMINAL
Yangjiang,PORT_CNYJI,ALL#WORLD#ASIA#CHN,False,,PORT_TERMINAL,CHN,1,PORT_TERMINAL
Piedmont,ITC1,ALL#WORLD#EUR#ITA#ITC,False,,REGION,ITA,2,PROVINCE
Piedmont,ITPIE,ALL#WORLD#EUR#ITA#ITNW,False,,STATE,ITA,2,PROVINCE
Poitou-Charentes,FRI3,ALL#WORLD#EUR#FRA#FRI,False,,REGION,FRA,2,DEPARTMENT
Poitou-Charentes,POITO,ALL#WORLD#EUR#FRA#WESTF,False,,STATE,FRA,2,DEPARTMENT
Upper Normandy,FRD2,ALL#WORLD#EUR#FRA#FRD,False,,REGION,FRA,2,DEPARTMENT
Upper Normandy,UPPER,ALL#WORLD#EUR#FRA#PARIS,False,,STATE,FRA,2,DEPARTMENT
Franche-Comté,FRC2,ALL#WORLD#EUR#FRA#FRC,False,,REGION,FRA,2,DEPARTMENT
Franche-Comté,FRANC,ALL#WORLD#EUR#FRA#EASTF,False,,STATE,FRA,2,DEPARTMENT
Bragança Paulista,BRAGA,ALL#WORLD#SOAME#BRA#BRANE#SAOPO,False,,CITY,BRA,3,CITY
Braganca Paulista,BRAGANCA_PAULISTA,ALL#WORLD#SOAME#BRA#BRANE#SAOPO,False,,CITY,BRA,3,CITY
Martinique,FRY2,ALL#WORLD#EUR#FRA#FRY,False,,REGION,FRA,2,DEPARTMENT
Martinique,MTQ,ALL#WORLD#EUR#FRA#OVERS,False,,STATE,FRA,2,DEPARTMENT
