NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,CONTINENT
Saint Helena,SHN,ALL#WORLD#SHN,False,,COUNTRY,Africa
Svalbard And Jan Mayen Islands,SJM,ALL#WORLD#SJM,False,,COUNTRY,North America
Solomon Islands,SLB,ALL#WORLD#SLB,False,,COUNTRY,Oceania
San Marino,SMR,ALL#WORLD#SMR,False,,COUNTRY,Europe
Seychelles,SYC,ALL#WORLD#SYC,False,,COUNTRY,Africa
Turks And Caicos Islands,TCA,ALL#WORLD#TCA,False,,COUNTRY,Oceania
Tokelau,TKL,ALL#WORLD#TKL,False,,COUNTRY,Oceania
Tuvalu,TUV,ALL#WORLD#TUV,False,,COUNTRY,Oceania
United Arab Emirates,UAE,ALL#WORLD#UAE,False,,COUNTRY,Asia
Vanuatu,VUT,ALL#WORLD#VUT,False,,COUNTRY,Oceania
Wallis And Futuna Islands,WLF,ALL#WORLD#WLF,False,,COUNTRY,Oceania
Afghanistan,AFG,ALL#WORLD#AFRMI#AFG,False,,COUNTRY,Asia
Angola,AGO,ALL#WORLD#CWA#AGO,False,,COUNTRY,Africa
Albania,ALB,ALL#WORLD#EASTE#ALB,False,,COUNTRY,Europe
Andorra,AND,ALL#WORLD#WESTE#AND,False,,COUNTRY,Europe
Argentina,ARG,ALL#WORLD#Americas#SOAME#ARG,False,,COUNTRY,South America
Armenia,ARM,ALL#WORLD#CIS#ARM,False,,COUNTRY,Asia
Antigua And Barbuda,ATG,ALL#WORLD#CARIB#ATG,False,,COUNTRY,North America
Australia,AUS,ALL#WORLD#OCEAN#AUS,False,,COUNTRY,Oceania
Austria,AUT,ALL#WORLD#EUR#AUT,False,,COUNTRY,Europe
Azerbaijan,AZE,ALL#WORLD#CIS#AZE,False,,COUNTRY,Asia
Burundi,BDI,ALL#WORLD#AFRMI#BDI,False,,COUNTRY,Africa
Belgium,BEL,ALL#WORLD#EUR#BEL,False,,COUNTRY,Europe
