NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,HIERARCHY_short
Hazira Port,PORT_INHZA,ALL#WORLD#ASIA#IND#PORT_INHZA,false,,PORT_TERMINAL,ALL#WORLD#ASIA#IND
North Sumatra,NORTHSUMATRA,ALL#WORLD#ASIA#IDN#NORTHSUMATRA,false,,NATIONAL_REGION,ALL#WORLD#ASIA#IDN
Mio MI,MIOMICH,ALL#WORLD#NOAME#USA#EASCB#MICHI#MIOMICH,false,,CITY,ALL#WORLD#NOAME#USA#EASCB#MICHI
Shropshire and Staffordshire,GBR_SHROP_STAFFORD,ALL#WORLD#EUR#GBR#GBR_SHROP_STAFFORD,false,,COUNTY,ALL#WORLD#EUR#GBR
WASDE Major Importers,MAJIMP,MAJIMP,false,,COUNTRY_GROUP,MAJIMP
Szabolcs-Szatmár-Bereg,HU323,ALL#WORLD#EUR#HUN#HU3#HU32#HU323,false,,DEPARTMENT,ALL#WORLD#EUR#HUN#HU3#HU32
Macroregiunea Four,ROU_MACRO4,ALL#WORLD#EUR#ROU#ROU_MACRO4,false,,REGION,ALL#WORLD#EUR#ROU
Sigmaringen,SIGMARINGEN---GER,ALL#WORLD#EUR#DEU#BADEW#SIGMARINGEN---GER,false,,TERRITORY,ALL#WORLD#EUR#DEU#BADEW
Schmalkalden-Meiningen,DEG0Q,ALL#WORLD#EUR#DEU#DEG#DEG0#DEG0Q,false,,DEPARTMENT,ALL#WORLD#EUR#DEU#DEG#DEG0
Shekou,PORT_CNSHK,ALL#WORLD#ASIA#CHN#PORT_CNSHK,false,,PORT_TERMINAL,ALL#WORLD#ASIA#CHN
North Frisia,NORTH-FRISIA-GER,ALL#WORLD#EUR#DEU#SCHLE#NORTH-FRISIA-GER,false,,TERRITORY,ALL#WORLD#EUR#DEU#SCHLE
Appleton WI,APPLWI,ALL#WORLD#NOAME#USA#EASCB#WISCO#APPLWI,false,,CITY,ALL#WORLD#NOAME#USA#EASCB#WISCO
Horlivka District,UA213,ALL#WORLD#CIS#UKR#UA2#UA21#UA213,false,,DEPARTMENT,ALL#WORLD#CIS#UKR#UA2#UA21
Vestfold,NO093,ALL#WORLD#WESTE#NOR#NO0#NO09#NO093,false,,DEPARTMENT,ALL#WORLD#WESTE#NOR#NO0#NO09
O Hare,O_HARE,ALL#WORLD#NOAME#USA#O_HARE,true,[],,ALL#WORLD#NOAME#USA
Macroregion Eastern,POL_MACRO_E,ALL#WORLD#EUR#POL#POL_MACRO_E,false,,REGION,ALL#WORLD#EUR#POL
Steinhausen,STEIN,ALL#WORLD#WESTE#CHE#STEIN,false,,CITY,ALL#WORLD#WESTE#CHE
Rivnenskyi Raion,UA833,ALL#WORLD#CIS#UKR#UA8#UA83#UA833,false,,DEPARTMENT,ALL#WORLD#CIS#UKR#UA8#UA83
Castelo,CASTLO,ALL#WORLD#Americas#SOAME#BRA#BRANE#ESPIR#CASTLO,false,,CITY,ALL#WORLD#Americas#SOAME#BRA#BRANE#ESPIR
Santa Quitéria,SANTAQUITERI,ALL#WORLD#Americas#SOAME#BRA#BRACW#CEARA#SANTAQUITERI,false,,CITY,ALL#WORLD#Americas#SOAME#BRA#BRACW#CEARA
Benevento,ITF32,ALL#WORLD#EUR#ITA#ITF#ITF3#ITF32,false,,DEPARTMENT,ALL#WORLD#EUR#ITA#ITF#ITF3
Saint Barthelemy,STBARTH,ALL#WORLD#EUR#FRA#STBARTH,false,,TERRITORY,ALL#WORLD#EUR#FRA
Saladin,SLD_IQ,ALL#WORLD#AFRMI#IRQ#SLD_IQ,false,,STATE,ALL#WORLD#AFRMI#IRQ
Trier (Independent City),DEB21,ALL#WORLD#EUR#DEU#DEB#DEB2#DEB21,false,,DEPARTMENT,ALL#WORLD#EUR#DEU#DEB#DEB2
Ulm (Urban District),DE144,ALL#WORLD#EUR#DEU#DE1#DE14#DE144,false,,DEPARTMENT,ALL#WORLD#EUR#DEU#DE1#DE14
Salvador (Radio Farol),SALVADOR_(RADIO_FAROL),ALL#WORLD#Americas#SOAME#BRA#BRACW#BAHIA#SALVADOR_(RADIO_FAROL),false,,CITY,ALL#WORLD#Americas#SOAME#BRA#BRACW#BAHIA
Conde,CONDE,ALL#WORLD#Americas#SOAME#BRA#BRACW#PARAI#CONDE,false,,CITY,ALL#WORLD#Americas#SOAME#BRA#BRACW#PARAI
Pavlohrad District,UA316,ALL#WORLD#CIS#UKR#UA3#UA31#UA316,false,,DEPARTMENT,ALL#WORLD#CIS#UKR#UA3#UA31
Bautzen District,BAUTZENDISTRICT---GER,ALL#WORLD#EUR#DEU#SAXON#BAUTZENDISTRICT---GER,false,,TERRITORY,ALL#WORLD#EUR#DEU#SAXON
Monza and Brianza,ITC4D,ALL#WORLD#EUR#ITA#ITC#ITC4#ITC4D,false,,DEPARTMENT,ALL#WORLD#EUR#ITA#ITC#ITC4
Southwestern Macroregion,PL5,ALL#WORLD#EUR#POL#PL5,false,,NATIONAL_REGION,ALL#WORLD#EUR#POL
Torres,PORT_BRTOR,ALL#WORLD#Americas#SOAME#BRA#PORT_BRTOR,false,,PORT_TERMINAL,ALL#WORLD#Americas#SOAME#BRA
Aarhus,AAR,ALL#WORLD#EUR#DNK#AAR,false,,CITY,ALL#WORLD#EUR#DNK
Pčinja District,RS228,ALL#WORLD#EASTE#SERBI#SRB#RS2#RS22#RS228,false,,DEPARTMENT,ALL#WORLD#EASTE#SERBI#SRB#RS2#RS22
Roma,ROMA,ALL#WORLD#EUR#ITA#ROMA,false,,CITY,ALL#WORLD#EUR#ITA
Pelintung,PELINTUNG,ALL#WORLD#ASIA#IDN#PELINTUNG,false,,CITY,ALL#WORLD#ASIA#IDN
Northern Samar,NORTHERNSAMAR,ALL#WORLD#ASIA#PHL#NORTHERNSAMAR,false,,NATIONAL_REGION,ALL#WORLD#ASIA#PHL
Włocławek County,PL619,ALL#WORLD#EUR#POL#PL6#PL61#PL619,false,,DEPARTMENT,ALL#WORLD#EUR#POL#PL6#PL61
Hoofu,HOOFU,ALL#WORLD#ASIA#JPN#HOOFU,false,,CITY,ALL#WORLD#ASIA#JPN
Dover,DOVER,ALL#WORLD#EUR#GBR#ENG#DOVER,false,,CITY,ALL#WORLD#EUR#GBR#ENG
